Color,ObjectPrompt,Object,CatchQuestion,CorrectAnswer,thisN,thisTrialN,thisRepN,P_Key_Resp2.keys,P_Key_Resp2.rt,P_Key_Resp2.duration,P_CQ_Key_Resp.keys,P_CQ_Key_Resp.rt,P_CQ_Key_Resp.duration,P_Trials.thisRepN,P_Trials.thisTrialN,P_Trials.thisN,P_Trials.thisIndex,thisRow.t,notes,P_Start.started,P_Intro.started,P_Key_Resp.started,P_Start.stopped,P_Key_Resp.keys,P_Key_Resp.rt,P_Key_Resp.duration,P_Interval.started,P_Inter.started,P_Interval.stopped,P_Imagine.started,P_BG.started,P_Cue.started,P_Sound.started,P_Cue.stopped,P_Sound.stopped,P_Imagine.stopped,P_Rate.started,P_RateText.started,P_IMG1.started,P_IMG2.started,P_IMG3.started,P_IMG4.started,P_IMG5.started,P_Key_Resp2.started,P_Rate.stopped,P_Trials.P_Key_Resp2.keys,P_Trials.P_Key_Resp2.rt,P_Trials.P_Key_Resp2.duration,P_Catch.started,P_CQ.started,P_CQ_Option.started,P_CQ_Key_Resp.started,P_Catch.stopped,P_Trials.P_CQ_Key_Resp.keys,P_Trials.P_CQ_Key_Resp.rt,P_Trials.P_CQ_Key_Resp.duration,P_CQ_KeyResp_key,P_CQ_KeyResp_rt,P_CQ_KeyResp_duration,P_Inter.stopped,P_BG.stopped,P_End.started,VI_P_End.started,participant,session,date,expName,psychopyVersion,frameRate,expStart,RESPONSES,
,,,,,,,,,,,,,,,,,,,,0.001910400000269874,0.005184400000871392,0.005184400000871392,3.6788046000001486,s,3.625053800000387,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,486736,001,2025-09-04_11h57.41.057,visual_imagery,2024.2.4,164.36716996118977,2025-09-04 11h57.50.163006 +0400,,
grey,a grey squirrel,squirrel,Is it an instrument?,NO,0,0,0,3,0,None,f,0,None,0,0,0,14,3.694609100000889,,,,,,,,,3.692037700000583,3.694609100000889,4.682879800000592,4.702360900000713,4.7042541000009805,4.716125333332942,1.0039949000001798,5.717613799999526,2.5071079000008467,11.179552800000238,11.207297099999778,11.21693950000008,11.21693950000008,11.21693950000008,11.21693950000008,11.21693950000008,11.21693950000008,11.21693950000008,11.217746899999838,3,0,None,11.22986950000086,11.23341310000069,11.23341310000069,11.23341310000069,11.234002999999575,f,0,None,f,0,None,,,,,486736,001,2025-09-04_11h57.41.057,visual_imagery,2024.2.4,164.36716996118977,2025-09-04 11h57.50.163006 +0400,,
black,a black pan,pan,Is it a food?,NO,1,1,0,3,0,None,f,0,None,0,1,1,7,11.23543029999928,,,,,,,,,11.234161500000482,11.23543029999928,12.222404800000731,12.23365179999928,12.235215299999254,12.238709466666721,1.000798199998826,13.234818099999757,2.503149399999529,18.71922579999955,18.737471500000538,18.741668700000446,18.741668700000446,18.741668700000446,18.741668700000446,18.741668700000446,18.741668700000446,18.741668700000446,18.742516899999828,3,0,None,18.7471929000003,18.749338499999794,18.749338499999794,18.749338499999794,18.749878000000535,f,0,None,f,0,None,12.235215299999254,18.741668700000446,,,486736,001,2025-09-04_11h57.41.057,visual_imagery,2024.2.4,164.36716996118977,2025-09-04 11h57.50.163006 +0400,,
brown,a brown backpack,backpack,Is it an instrument?,NO,2,2,0,3,0,None,f,0,None,0,2,2,8,18.75131180000062,,,,,,,,,18.749984100000802,18.75131180000062,19.737204400000337,19.747862399999576,19.749576899999738,19.753598266667055,1.0047486999992543,20.754623700000593,2.508327499999723,26.234152700000777,26.252251899999465,26.255945700000666,26.255945700000666,26.255945700000666,26.255945700000666,26.255945700000666,26.255945700000666,26.255945700000666,26.256816799999797,3,0,None,26.259526499999993,26.261880899999596,26.261880899999596,26.261880899999596,26.262330400000792,f,0,None,f,0,None,19.749576899999738,26.255945700000666,,,486736,001,2025-09-04_11h57.41.057,visual_imagery,2024.2.4,164.36716996118977,2025-09-04 11h57.50.163006 +0400,,
black,a black train,train,Is it a food?,NO,3,3,0,3,0,None,f,0,None,0,3,3,11,26.263709400000153,,,,,,,,,26.262431099999958,26.263709400000153,27.252269700000397,27.26294450000023,27.26469569999972,27.26863396666728,1.0012207999989187,28.263532799999666,2.5048639999986335,33.74916730000041,33.76727100000062,33.77096410000013,33.77096410000013,33.77096410000013,33.77096410000013,33.77096410000013,33.77096410000013,33.77096410000013,33.771971800000756,3,0,None,33.77452020000055,33.77704090000043,33.77704090000043,33.77704090000043,33.77767560000029,f,0,None,f,0,None,27.26469569999972,33.77096410000013,,,486736,001,2025-09-04_11h57.41.057,visual_imagery,2024.2.4,164.36716996118977,2025-09-04 11h57.50.163006 +0400,,
red,a red strawberry,strawberry,Is it a tool?,NO,4,4,0,3,0,None,f,0,None,0,4,4,3,33.77917340000022,,,,,,,,,33.77778000000035,33.77917340000022,34.76729730000079,34.77856830000019,34.78038320000087,34.783729366667345,1.0067660000004253,35.78443890000017,2.510527099999308,41.26437799999985,41.2804957999997,41.28426369999943,41.28426369999943,41.28426369999943,41.28426369999943,41.28426369999943,41.28426369999943,41.28426369999943,41.28499759999977,3,0,None,41.288480700000946,41.290725799999564,41.290725799999564,41.290725799999564,41.2911765000008,f,0,None,f,0,None,34.78038320000087,41.28426369999943,,,486736,001,2025-09-04_11h57.41.057,visual_imagery,2024.2.4,164.36716996118977,2025-09-04 11h57.50.163006 +0400,,
yellow,a yellow trumpet,trumpet,Is it an instrument?,YES,5,5,0,3,0,None,f,0,None,0,5,5,5,41.29263390000051,,,,,,,,,41.291289299999335,41.29263390000051,42.27627770000072,42.28768140000102,42.28947970000081,42.29265846666591,1.0028870999994979,43.28653570000097,2.5058712999998534,48.77308110000013,48.7899039999993,48.79413130000103,48.79413130000103,48.79413130000103,48.79413130000103,48.79413130000103,48.79413130000103,48.79413130000103,48.795097300000634,3,0,None,48.797877799999696,48.80009969999992,48.80009969999992,48.80009969999992,48.800610100000995,f,0,None,f,0,None,42.28947970000081,48.79413130000103,,,486736,001,2025-09-04_11h57.41.057,visual_imagery,2024.2.4,164.36716996118977,2025-09-04 11h57.50.163006 +0400,,
blue,a blue helicopter,helicopter,Is it a cloth?,NO,6,6,0,3,0,None,f,0,None,0,6,6,12,48.80216079999991,,,,,,,,,48.80077270000038,48.80216079999991,49.78517959999954,49.79675320000024,49.79845279999972,49.80160306666609,1.002246500000183,50.795681600000535,2.5055487000008725,56.28203100000064,56.298737600000095,56.30270799999926,56.30270799999926,56.30270799999926,56.30270799999926,56.30270799999926,56.30270799999926,56.30270799999926,56.30337259999942,3,0,None,56.30822199999966,56.310546599999725,56.310546599999725,56.310546599999725,56.3113441000005,f,0,None,f,0,None,49.79845279999972,56.30270799999926,,,486736,001,2025-09-04_11h57.41.057,visual_imagery,2024.2.4,164.36716996118977,2025-09-04 11h57.50.163006 +0400,,
yellow,a yellow sunflower,sunflower,Is it a cloth?,NO,7,7,0,3,0,None,f,0,None,0,7,7,1,56.312862299999324,,,,,,,,,56.31147290000081,56.312862299999324,57.300077600000805,57.31113929999992,57.31269600000087,57.31646866666621,1.0018173000007664,58.313151800000924,2.5034040000009554,63.79695309999988,63.813763399999516,63.81762809999964,63.81762809999964,63.81762809999964,63.81762809999964,63.81762809999964,63.81762809999964,63.81762809999964,63.818503899999996,3,0,None,63.818559900000764,63.820555800000875,63.820555800000875,63.820555800000875,63.82112050000069,f,0,None,f,0,None,57.31269600000087,63.81762809999964,,,486736,001,2025-09-04_11h57.41.057,visual_imagery,2024.2.4,164.36716996118977,2025-09-04 11h57.50.163006 +0400,,
green,a green cabbage,cabbage,Is it a food?,YES,8,8,0,3,0,None,f,0,None,0,8,8,2,63.82251329999963,,,,,,,,,63.821232100001,63.82251329999963,64.80905940000048,64.81929900000068,64.82097339999927,64.82535776666761,1.0050100999997085,65.82610039999963,2.5088415000009263,71.30570289999923,71.32479070000045,71.32912100000067,71.32912100000067,71.32912100000067,71.32912100000067,71.32912100000067,71.32912100000067,71.32912100000067,71.3300106000006,3,0,None,71.3325590000004,71.33464409999942,71.33464409999942,71.33464409999942,71.3350919000004,f,0,None,f,0,None,64.82097339999927,71.32912100000067,,,486736,001,2025-09-04_11h57.41.057,visual_imagery,2024.2.4,164.36716996118977,2025-09-04 11h57.50.163006 +0400,,
